[      56ms] [WARNING] Error with Permissions-Policy header: Unrecognized feature: 'speaker'. @ :0
[      56ms] [WARNING] Error with Permissions-Policy header: Unrecognized feature: 'vibrate'. @ :0
[      60ms] [INFO] Loading the stylesheet 'https://fonts.googleapis.com/css2?family=Geist:wght@400;500;600;700&family=Instrument+Serif&family=Geist+Mono:wght@400;500&display=swap' violates the following Content Security Policy directive: "style-src 'self' 'unsafe-inline'". Note that 'style-src-elem' was not explicitly set, so 'style-src' is used as a fallback. The policy is report-only, so the violation has been logged but no further action has been taken. @ http://local.host/compliance/unified:8
[      61ms] [ERROR] Error: <path> attribute d: Expected arc flag ('0' or '1'), "…5.414a1 0 01.293.707V19a2 2 0 01…". @ http://local.host/compliance/unified:389
[      61ms] [ERROR] Error: <path> attribute d: Expected arc flag ('0' or '1'), "…5.414a1 0 01.293.707V19a2 2 0 01…". @ http://local.host/compliance/unified:395
[      63ms] [INFO] Loading the font 'https://fonts.gstatic.com/s/geist/v4/gyByhwUxId8gMEwYGFWfOw.woff2' violates the following Content Security Policy directive: "font-src 'self' data:". The policy is report-only, so the violation has been logged but no further action has been taken. @ http://local.host/compliance/unified:0
[      63ms] [INFO] Loading the font 'https://fonts.gstatic.com/s/geist/v4/gyByhwUxId8gMEwSGFWfOw.woff2' violates the following Content Security Policy directive: "font-src 'self' data:". The policy is report-only, so the violation has been logged but no further action has been taken. @ http://local.host/compliance/unified:0
[      63ms] [INFO] Loading the font 'https://fonts.gstatic.com/s/geist/v4/gyByhwUxId8gMEwcGFU.woff2' violates the following Content Security Policy directive: "font-src 'self' data:". The policy is report-only, so the violation has been logged but no further action has been taken. @ http://local.host/compliance/unified:0
[      63ms] [INFO] Loading the font 'https://fonts.gstatic.com/s/geist/v4/gyByhwUxId8gMEwYGFWfOw.woff2' violates the following Content Security Policy directive: "font-src 'self' data:". The policy is report-only, so the violation has been logged but no further action has been taken. @ http://local.host/compliance/unified:0
[      63ms] [INFO] Loading the font 'https://fonts.gstatic.com/s/geist/v4/gyByhwUxId8gMEwSGFWfOw.woff2' violates the following Content Security Policy directive: "font-src 'self' data:". The policy is report-only, so the violation has been logged but no further action has been taken. @ http://local.host/compliance/unified:0
[      63ms] [INFO] Loading the font 'https://fonts.gstatic.com/s/geist/v4/gyByhwUxId8gMEwcGFU.woff2' violates the following Content Security Policy directive: "font-src 'self' data:". The policy is report-only, so the violation has been logged but no further action has been taken. @ http://local.host/compliance/unified:0
[      64ms] [INFO] Loading the font 'https://fonts.gstatic.com/s/geist/v4/gyByhwUxId8gMEwYGFWfOw.woff2' violates the following Content Security Policy directive: "font-src 'self' data:". The policy is report-only, so the violation has been logged but no further action has been taken. @ http://local.host/compliance/unified:0
[      64ms] [INFO] Loading the font 'https://fonts.gstatic.com/s/geist/v4/gyByhwUxId8gMEwSGFWfOw.woff2' violates the following Content Security Policy directive: "font-src 'self' data:". The policy is report-only, so the violation has been logged but no further action has been taken. @ http://local.host/compliance/unified:0
[      64ms] [INFO] Loading the font 'https://fonts.gstatic.com/s/geist/v4/gyByhwUxId8gMEwcGFU.woff2' violates the following Content Security Policy directive: "font-src 'self' data:". The policy is report-only, so the violation has been logged but no further action has been taken. @ http://local.host/compliance/unified:0
[      64ms] [INFO] Loading the font 'https://fonts.gstatic.com/s/geist/v4/gyByhwUxId8gMEwYGFWfOw.woff2' violates the following Content Security Policy directive: "font-src 'self' data:". The policy is report-only, so the violation has been logged but no further action has been taken. @ http://local.host/compliance/unified:0
[      64ms] [INFO] Loading the font 'https://fonts.gstatic.com/s/geist/v4/gyByhwUxId8gMEwSGFWfOw.woff2' violates the following Content Security Policy directive: "font-src 'self' data:". The policy is report-only, so the violation has been logged but no further action has been taken. @ http://local.host/compliance/unified:0
[      64ms] [INFO] Loading the font 'https://fonts.gstatic.com/s/geist/v4/gyByhwUxId8gMEwcGFU.woff2' violates the following Content Security Policy directive: "font-src 'self' data:". The policy is report-only, so the violation has been logged but no further action has been taken. @ http://local.host/compliance/unified:0
[      64ms] [INFO] Loading the font 'https://fonts.gstatic.com/s/geistmono/v4/or3nQ6H-1_WfwkMZI_qYFrMdmgPn.woff2' violates the following Content Security Policy directive: "font-src 'self' data:". The policy is report-only, so the violation has been logged but no further action has been taken. @ http://local.host/compliance/unified:0
[      64ms] [INFO] Loading the font 'https://fonts.gstatic.com/s/geistmono/v4/or3nQ6H-1_WfwkMZI_qYFrkdmgPn.woff2' violates the following Content Security Policy directive: "font-src 'self' data:". The policy is report-only, so the violation has been logged but no further action has been taken. @ http://local.host/compliance/unified:0
[      64ms] [INFO] Loading the font 'https://fonts.gstatic.com/s/geistmono/v4/or3nQ6H-1_WfwkMZI_qYFrcdmg.woff2' violates the following Content Security Policy directive: "font-src 'self' data:". The policy is report-only, so the violation has been logged but no further action has been taken. @ http://local.host/compliance/unified:0
[      64ms] [INFO] Loading the font 'https://fonts.gstatic.com/s/geistmono/v4/or3nQ6H-1_WfwkMZI_qYFrMdmgPn.woff2' violates the following Content Security Policy directive: "font-src 'self' data:". The policy is report-only, so the violation has been logged but no further action has been taken. @ http://local.host/compliance/unified:0
[      64ms] [INFO] Loading the font 'https://fonts.gstatic.com/s/geistmono/v4/or3nQ6H-1_WfwkMZI_qYFrkdmgPn.woff2' violates the following Content Security Policy directive: "font-src 'self' data:". The policy is report-only, so the violation has been logged but no further action has been taken. @ http://local.host/compliance/unified:0
[      64ms] [INFO] Loading the font 'https://fonts.gstatic.com/s/geistmono/v4/or3nQ6H-1_WfwkMZI_qYFrcdmg.woff2' violates the following Content Security Policy directive: "font-src 'self' data:". The policy is report-only, so the violation has been logged but no further action has been taken. @ http://local.host/compliance/unified:0
[      64ms] [INFO] Loading the font 'https://fonts.gstatic.com/s/instrumentserif/v5/jizBRFtNs2ka5fXjeivQ4LroWlx-6zsTjmbI.woff2' violates the following Content Security Policy directive: "font-src 'self' data:". The policy is report-only, so the violation has been logged but no further action has been taken. @ http://local.host/compliance/unified:0
[      64ms] [INFO] Loading the font 'https://fonts.gstatic.com/s/instrumentserif/v5/jizBRFtNs2ka5fXjeivQ4LroWlx-6zUTjg.woff2' violates the following Content Security Policy directive: "font-src 'self' data:". The policy is report-only, so the violation has been logged but no further action has been taken. @ http://local.host/compliance/unified:0
